dataset,project,model,n_instances,n_features,minority_class_percentage,repeat,fold,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF
AEEEM,equinox,GaussianNB,241,19,0.48132780082987553,3,3,0.875,0.28,0.42424242424242425,0.5175191657866612,0.6041666666666666,0.7052173913043478,0.31705163480170667,0.28,0.043478260869565216
AEEEM,equinox,DecisionTree,241,19,0.48132780082987553,3,3,0.72,0.72,0.72,0.7077213895435062,0.7083333333333334,0.7104347826086956,0.4156521739130435,0.72,0.30434782608695654
AEEEM,equinox,RandomForest,241,19,0.48132780082987553,3,3,0.7142857142857143,0.8,0.7547169811320755,0.7223151185146152,0.7291666666666666,0.7791304347826088,0.45818979495265694,0.8,0.34782608695652173
AEEEM,equinox,KNN,241,19,0.48132780082987553,3,3,0.7777777777777778,0.84,0.8076923076923077,0.7879527683924914,0.7916666666666666,0.8130434782608695,0.5832017006169344,0.84,0.2608695652173913
AEEEM,equinox,Dummy,241,19,0.48132780082987553,3,4,0.5714285714285714,0.64,0.6037735849056604,0.5532512598464997,0.5625,0.5591304347826087,0.11983425406454104,0.64,0.5217391304347826
AEEEM,equinox,LogisticRegression,241,19,0.48132780082987553,3,4,0.7368421052631579,0.56,0.6363636363636364,0.6620127412408445,0.6666666666666666,0.6365217391304347,0.34999070001509575,0.56,0.21739130434782608
AEEEM,equinox,GaussianNB,241,19,0.48132780082987553,3,4,0.625,0.2,0.30303030303030304,0.41702882811414954,0.5208333333333334,0.7086956521739131,0.09325048082403138,0.2,0.13043478260869565
AEEEM,equinox,DecisionTree,241,19,0.48132780082987553,3,4,0.625,0.6,0.6122448979591837,0.6043321862224019,0.6041666666666666,0.64,0.20851441405707477,0.6,0.391304347826087
AEEEM,equinox,RandomForest,241,19,0.48132780082987553,3,4,0.6818181818181818,0.6,0.6382978723404256,0.6460582824697986,0.6458333333333334,0.7147826086956521,0.2964264716351163,0.6,0.30434782608695654
AEEEM,equinox,KNN,241,19,0.48132780082987553,3,4,0.6,0.48,0.5333333333333333,0.5595028849441882,0.5625,0.6139130434782609,0.13393240160154588,0.48,0.34782608695652173
AEEEM,equinox,Dummy,241,19,0.48132780082987553,3,5,0.5,0.56,0.5283018867924528,0.4681136985632964,0.4791666666666667,0.4756521739130435,-0.0493435163795169,0.56,0.6086956521739131
AEEEM,equinox,LogisticRegression,241,19,0.48132780082987553,3,5,0.8181818181818182,0.72,0.7659574468085106,0.7712215043005817,0.7708333333333334,0.8417391304347827,0.5475171299613324,0.72,0.17391304347826086
AEEEM,equinox,GaussianNB,241,19,0.48132780082987553,3,5,1.0,0.52,0.6842105263157895,0.7211102550927979,0.75,0.8156521739130435,0.5845633290878635,0.52,0.0
AEEEM,equinox,DecisionTree,241,19,0.48132780082987553,3,5,0.5,0.4,0.4444444444444444,0.47548602137364576,0.4791666666666667,0.49826086956521737,-0.03524536884251207,0.4,0.43478260869565216
AEEEM,equinox,RandomForest,241,19,0.48132780082987553,3,5,0.7272727272727273,0.64,0.6808510638297872,0.6877815628968761,0.6875,0.6226086956521739,0.38012335774385503,0.64,0.2608695652173913
AEEEM,equinox,KNN,241,19,0.48132780082987553,3,5,0.7222222222222222,0.52,0.6046511627906976,0.637931439685434,0.6458333333333334,0.6791304347826087,0.31226150319373597,0.52,0.21739130434782608
AEEEM,jdt,Dummy,972,19,0.2109053497942387,1,1,0.225,0.21951219512195122,0.2222222222222222,0.4187178946793119,0.676923076923077,0.5091067469116249,0.01838017774175063,0.21951219512195122,0.2012987012987013
AEEEM,jdt,LogisticRegression,972,19,0.2109053497942387,1,1,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.8242830270670393,0.8871794871794871,0.8496990814063985,0.6602787456445993,0.7317073170731707,0.07142857142857142
AEEEM,jdt,GaussianNB,972,19,0.2109053497942387,1,1,0.75,0.36585365853658536,0.4918032786885246,0.5949582279451922,0.841025641025641,0.7990972442191955,0.4477811312860515,0.36585365853658536,0.032467532467532464
AEEEM,jdt,DecisionTree,972,19,0.2109053497942387,1,1,0.4782608695652174,0.5365853658536586,0.5057471264367817,0.6730242733169938,0.7794871794871795,0.7112765283496991,0.3654349868675829,0.5365853658536586,0.15584415584415584
AEEEM,jdt,RandomForest,972,19,0.2109053497942387,1,1,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.6846893406427013,0.8615384615384616,0.8735350015837821,0.5380436755581001,0.4878048780487805,0.03896103896103896
AEEEM,jdt,KNN,972,19,0.2109053497942387,1,1,0.7894736842105263,0.36585365853658536,0.5,0.5969513934208243,0.8461538461538461,0.8311688311688312,0.46702947929790173,0.36585365853658536,0.025974025974025976
AEEEM,jdt,Dummy,972,19,0.2109053497942387,1,2,0.2,0.1951219512195122,0.19753086419753085,0.393162981709731,0.6666666666666666,0.49366487171365214,-0.01278621060295696,0.1951219512195122,0.2077922077922078
AEEEM,jdt,LogisticRegression,972,19,0.2109053497942387,1,2,0.52,0.6341463414634146,0.5714285714285714,0.7316545224328138,0.8,0.8459771935381692,0.4463603925962103,0.6341463414634146,0.15584415584415584
AEEEM,jdt,GaussianNB,972,19,0.2109053497942387,1,2,0.7241379310344828,0.5121951219512195,0.6,0.6968411462798094,0.8564102564102564,0.7316281279695914,0.5270966769194503,0.5121951219512195,0.05194805194805195
AEEEM,jdt,DecisionTree,972,19,0.2109053497942387,1,2,0.46511627906976744,0.4878048780487805,0.47619047619047616,0.644166828357205,0.7743589743589744,0.6719987329743426,0.3326566514978881,0.4878048780487805,0.14935064935064934
AEEEM,jdt,RandomForest,972,19,0.2109053497942387,1,2,0.5833333333333334,0.5121951219512195,0.5454545454545454,0.6799308690567231,0.8205128205128205,0.8545296167247387,0.43564566526721554,0.5121951219512195,0.09740259740259741
AEEEM,jdt,KNN,972,19,0.2109053497942387,1,2,0.75,0.5121951219512195,0.6086956521739131,0.6992235161226282,0.8615384615384616,0.8424928729806779,0.5423636762753972,0.5121951219512195,0.045454545454545456
